TitleName,TvRating,Genre,TitleId,YearMade,Score 
an extremely goofy movie,1999,Comedy,G,552,67
scooby-doo,2002,Comedy,PG,553,86
the iron giant,1999,Comedy,PG,554,83
star wars: the clone wars,2008,Comedy,PG,555,57
cars toons: mater's tall tales,2010,Comedy,TV-G,556,74
the batman,2007,Comedy,TV-Y7,557,77
justice league,2003,Comedy,TV-Y7-FV,558,66
justice league unlimited,2005,Comedy,TV-Y7-FV,559,0
the cat in the hat knows a lot about that!,2014,Comedy,TV-Y,560,0
mighty morphin power rangers,2010,Comedy,TV-Y7-FV,561,73
bob the builder,2015,Comedy,TV-Y,562,0
beyblade: metal fusion,2009,Comedy,TV-Y7,563,0
ninja turtles: the next mutation,1997,Comedy,TV-Y7-FV,564,0
transformers prime,2013,Comedy,TV-Y7-FV,565,0
dreamworks kung fu panda awesome secrets,2008,Romance,TV-PG,566,0
lego ninjago: masters of spinjitzu,2015,Romance,TV-Y7-FV,567,67
transformers: rescue bots,2016,Romance,TV-Y7,568,0
goosebumps,1998,Romance,TV-Y7,569,88
lego ninjago: masters of spinjitzu: way of the ninja,2011,Romance,TV-Y7-FV,570,0
super buddies,2013,Romance,G,571,0
tad: the lost explorer,2012,Romance,TV-PG,572,0
pokã©mon: indigo league,2000,Romance,TV-Y,573,74
ratchet and clank,2016,Romance,PG,574,74
pac-man and the ghostly adventures,2014,Romance,TV-Y7,575,0
iron man & captain america: heroes united,2014,Romance,PG,576,0
power rangers super megaforce,2014,Romance,TV-Y7,577,0
chuggington,2015,Romance,TV-Y,578,0
all hail king julien,2016,Romance,TV-Y7-FV,579,71
the adventures of puss in boots,2016,Romance,TV-Y7-FV,580,78
kong: king of the apes,2016,Romance,TV-Y7-FV,581,0
marvel super hero adventures: frost fight!,2015,Romance,PG,582,0
some assembly required,2015,Romance,TV-G,583,0
dinotrux,2017,Romance,TV-Y7-FV,584,0
edgar rice burroughs' tarzan and jane,2017,Romance,TV-Y7-FV,585,0
kulipari: an army of frogs,2016,Romance,TV-Y7-FV,586,0
